Geneid,SC2,SC2yuan,SC3,SC3yuan
ENSMUSG00000029603,36,0,40,0
ENSMUSG00000032690,1628,39,1373,39
ENSMUSG00000107075,7,0,5,0
ENSMUSG00000032661,4619,35,5034,38
ENSMUSG00000107179,3,0,1,0
ENSMUSG00000066867,0,0,0,0
ENSMUSG00000001166,329,1,337,0
ENSMUSG00000029605,221,4,209,3
ENSMUSG00000053765,2,0,1,0
ENSMUSG00000001168,37,1,25,0
ENSMUSG00000066861,420,21,393,5
ENSMUSG00000052776,850,20,816,26
ENSMUSG00000032623,9,0,14,0
ENSMUSG00000118628,0,0,0,0
ENSMUSG00000029608,3,0,1,0
ENSMUSG00000106841,0,0,0,0
ENSMUSG00000043733,3413,1113,3399,1384
ENSMUSG00000106940,11,0,6,1
ENSMUSG00000029614,1216,367,1261,406
ENSMUSG00000064841,0,0,0,0
ENSMUSG00000042744,2183,1853,2281,2458
ENSMUSG00000077347,0,0,0,0
ENSMUSG00000042726,1476,278,1511,336
ENSMUSG00000104985,2,0,1,0
ENSMUSG00000106209,3,0,1,0
ENSMUSG00000042719,2085,259,1831,293
ENSMUSG00000106115,9,0,4,1
ENSMUSG00000029616,2927,845,2666,937
ENSMUSG00000029452,83,5,86,5
ENSMUSG00000082760,1,9,0,15
ENSMUSG00000062438,6,0,3,2
ENSMUSG00000104999,2,0,1,0
ENSMUSG00000072647,11,10,6,8
ENSMUSG00000105340,2,0,2,0
ENSMUSG00000029454,105,84,130,130
ENSMUSG00000082265,3,1,1,2
ENSMUSG00000029455,7651,345,8726,373
ENSMUSG00000106590,3,0,4,0
ENSMUSG00000042647,108,4,85,6
ENSMUSG00000029456,260,23,245,26
ENSMUSG00000029458,1207,456,1202,629
ENSMUSG00000042605,2084,973,2123,1252
ENSMUSG00000106110,19,0,18,0
ENSMUSG00000089729,6,0,2,0
ENSMUSG00000105179,3,0,4,0
ENSMUSG00000042594,2594,507,2606,445
ENSMUSG00000099063,1,0,2,0
ENSMUSG00000104872,6,4,3,1
ENSMUSG00000104719,6,0,6,0
ENSMUSG00000044134,183,12,177,15
ENSMUSG00000042589,43,117,40,129
ENSMUSG00000105795,0,0,0,0
ENSMUSG00000087386,0,0,0,0
ENSMUSG00000013936,5,0,5,0
ENSMUSG00000043036,83,0,74,2
ENSMUSG00000004455,681,301,636,350
ENSMUSG00000105742,52,3,46,5
ENSMUSG00000064267,22,3,47,4
ENSMUSG00000038593,349,80,390,111
ENSMUSG00000082645,0,0,0,0
ENSMUSG00000038582,735,284,773,400
ENSMUSG00000083909,1,0,6,0
ENSMUSG00000038569,121,15,111,13
ENSMUSG00000029462,1095,314,962,473
ENSMUSG00000029463,323,33,281,32
ENSMUSG00000029464,638,147,625,156
ENSMUSG00000104916,3,0,0,0
ENSMUSG00000029465,2674,641,2337,739
ENSMUSG00000105895,10,0,13,1
ENSMUSG00000029466,902,106,891,150
ENSMUSG00000079906,7,0,13,2
ENSMUSG00000029467,10939,4405,10276,5348
ENSMUSG00000105434,16,2,12,0
ENSMUSG00000105970,8,0,19,2
ENSMUSG00000106375,27,4,15,0
ENSMUSG00000088583,1,0,0,0
ENSMUSG00000029469,211,108,172,122
ENSMUSG00000105815,0,0,0,0
ENSMUSG00000105430,1,0,2,1
ENSMUSG00000029468,543,52,494,53
ENSMUSG00000099324,0,0,0,0
ENSMUSG00000059352,0,1,0,0
ENSMUSG00000029470,316,461,393,548
ENSMUSG00000029471,1672,152,1572,177
ENSMUSG00000105613,4,0,5,0
ENSMUSG00000029472,3351,1547,3151,1935
ENSMUSG00000029474,240,95,308,130
ENSMUSG00000029475,1299,433,1164,573
ENSMUSG00000105979,2,0,1,0
ENSMUSG00000105311,0,0,0,0
ENSMUSG00000056735,36,4,34,7
ENSMUSG00000106555,0,0,0,0
ENSMUSG00000049686,395,306,315,391
ENSMUSG00000029477,0,1,1,0
ENSMUSG00000105107,3,0,2,0
ENSMUSG00000080836,87,61,127,110
ENSMUSG00000054434,271,37,250,59
ENSMUSG00000029449,1189,52,1052,76
ENSMUSG00000104951,20,0,16,0
ENSMUSG00000090086,70,35,75,68
ENSMUSG00000104156,32,3,25,3
ENSMUSG00000105881,16,25,14,26
ENSMUSG00000038384,577,560,584,627
ENSMUSG00000029440,484,147,489,177
ENSMUSG00000029445,0,0,0,0
ENSMUSG00000104606,0,0,0,0
ENSMUSG00000029442,92,2,59,1
ENSMUSG00000094664,32,6,33,0
ENSMUSG00000087063,2,0,3,0
ENSMUSG00000087336,6,1,4,3
ENSMUSG00000029438,532,333,590,428
ENSMUSG00000065191,7,0,6,0
ENSMUSG00000104830,2,0,1,0
ENSMUSG00000086700,0,0,0,0
ENSMUSG00000038342,2103,972,2097,1146
ENSMUSG00000106254,2,2,5,0
ENSMUSG00000104940,0,0,4,0
ENSMUSG00000106636,6,6,10,0
ENSMUSG00000082532,0,1,0,1
ENSMUSG00000029437,0,0,0,0
ENSMUSG00000063409,0,0,0,0
ENSMUSG00000086753,54,1,57,2
ENSMUSG00000029433,124,5,131,1
ENSMUSG00000029431,0,0,0,0
ENSMUSG00000114278,8,12,6,10
ENSMUSG00000098951,1,0,0,0
ENSMUSG00000029434,1355,365,1295,398
ENSMUSG00000104704,6,2,1,3
ENSMUSG00000049550,2018,293,1858,347
ENSMUSG00000084552,2,2,3,0
ENSMUSG00000104877,4,0,5,0
ENSMUSG00000104694,0,0,0,2
ENSMUSG00000029427,1615,311,1498,430
ENSMUSG00000029422,1117,1153,1071,1534
ENSMUSG00000029414,1740,89,1558,100
ENSMUSG00000045502,108,3,104,0
ENSMUSG00000049241,0,0,0,0
ENSMUSG00000023106,1471,525,1535,759
ENSMUSG00000105875,1,0,0,0
ENSMUSG00000061882,7,9,6,13
ENSMUSG00000000915,936,147,1049,129
ENSMUSG00000098454,0,0,0,0
ENSMUSG00000066278,496,452,572,579
ENSMUSG00000102725,0,0,0,0
ENSMUSG00000106261,16,0,16,0
ENSMUSG00000104818,34,6,24,3
ENSMUSG00000029408,28,196,31,179
ENSMUSG00000085433,180,8,147,20
ENSMUSG00000023707,418,60,374,51
ENSMUSG00000029404,915,195,1002,207
ENSMUSG00000029406,631,153,623,173
ENSMUSG00000089842,3,1,3,0
ENSMUSG00000090220,0,0,2,0
ENSMUSG00000105759,0,0,0,1
ENSMUSG00000038126,645,77,638,108
ENSMUSG00000105382,10,0,16,1
ENSMUSG00000105228,1,1,2,0
ENSMUSG00000047635,176,17,153,23
ENSMUSG00000029394,1208,391,999,537
ENSMUSG00000038095,3687,886,3728,1232
ENSMUSG00000103864,1,0,1,0
ENSMUSG00000049327,3886,861,3853,1037
ENSMUSG00000029401,2962,236,2970,227
ENSMUSG00000082402,4,8,3,4
ENSMUSG00000029402,168,113,159,154
ENSMUSG00000029392,453,441,472,522
ENSMUSG00000106662,14,4,9,0
ENSMUSG00000029390,1005,365,887,588
ENSMUSG00000029389,460,211,428,205
ENSMUSG00000029388,609,73,598,66
ENSMUSG00000029387,614,108,575,140
ENSMUSG00000118662,43,24,46,60
ENSMUSG00000038023,1289,349,1249,386
ENSMUSG00000106082,0,0,0,0
ENSMUSG00000038011,6,12,4,7
ENSMUSG00000105583,0,0,0,0
ENSMUSG00000037979,413,118,413,128
ENSMUSG00000079215,1344,1100,1243,1293
ENSMUSG00000037962,0,4,3,13
ENSMUSG00000029478,4947,6395,5145,7329
ENSMUSG00000105604,0,0,0,0
ENSMUSG00000106663,2,0,0,0
ENSMUSG00000105039,0,0,0,0
ENSMUSG00000037936,2140,238,2084,290
ENSMUSG00000106458,2,0,1,0
ENSMUSG00000104932,0,0,0,0
ENSMUSG00000008348,16266,8948,17941,10632
ENSMUSG00000072612,127,10,150,14
ENSMUSG00000029480,1246,386,1169,397
ENSMUSG00000106271,0,21,0,16
ENSMUSG00000037905,4549,286,4422,291
ENSMUSG00000104793,0,0,0,0
ENSMUSG00000029482,584,514,572,608
ENSMUSG00000070498,3,0,5,0
ENSMUSG00000118707,0,0,0,0
ENSMUSG00000091970,0,0,0,0
ENSMUSG00000105274,0,0,0,0
ENSMUSG00000106378,0,0,0,0
ENSMUSG00000105593,0,0,0,0
ENSMUSG00000105189,268,75,284,76
ENSMUSG00000119346,0,0,0,0
ENSMUSG00000104175,0,0,0,0
ENSMUSG00000104825,0,0,0,0
ENSMUSG00000084551,0,0,0,0
ENSMUSG00000105673,0,0,0,0
ENSMUSG00000106235,0,0,0,0
ENSMUSG00000105316,0,0,0,0
ENSMUSG00000106644,0,0,0,0
ENSMUSG00000105782,0,0,0,0
ENSMUSG00000105490,0,0,0,0
ENSMUSG00000105575,0,0,0,0
ENSMUSG00000105308,0,0,0,0
ENSMUSG00000104778,0,0,0,0
ENSMUSG00000034324,0,0,0,0
ENSMUSG00000087104,0,0,0,0
ENSMUSG00000104971,0,0,0,0
ENSMUSG00000106015,0,0,1,0
ENSMUSG00000029416,717,185,617,227
ENSMUSG00000105362,0,0,0,0
ENSMUSG00000049971,2,0,3,0
ENSMUSG00000034310,0,0,0,0
ENSMUSG00000061331,0,0,0,0
ENSMUSG00000085328,0,0,0,0
ENSMUSG00000104581,0,0,0,0
ENSMUSG00000105772,0,0,0,0
ENSMUSG00000105857,0,0,0,0
ENSMUSG00000106275,0,0,0,0
ENSMUSG00000104727,0,0,0,0
ENSMUSG00000104980,0,0,0,0
ENSMUSG00000105172,0,0,0,0
ENSMUSG00000072591,0,0,0,0
ENSMUSG00000105059,0,0,0,0
ENSMUSG00000081683,0,0,0,1
ENSMUSG00000029423,0,0,0,0
ENSMUSG00000105483,0,0,0,0
ENSMUSG00000029420,0,4,0,0
ENSMUSG00000105271,0,0,0,0
ENSMUSG00000106522,0,0,0,0
ENSMUSG00000029428,1380,415,1255,486
ENSMUSG00000029430,4791,1980,4395,2288
ENSMUSG00000044017,4,0,2,1
ENSMUSG00000060419,10050,496,10455,514
ENSMUSG00000104681,0,0,0,0
ENSMUSG00000104873,5,0,0,0
ENSMUSG00000029439,943,1135,1029,1471
ENSMUSG00000104814,26,4,17,7
ENSMUSG00000029436,0,785,0,951
ENSMUSG00000057244,35,13,54,10
ENSMUSG00000051034,46,13,46,25
ENSMUSG00000034219,0,0,0,0
ENSMUSG00000034211,821,124,801,137
ENSMUSG00000029432,660,362,702,457
ENSMUSG00000086916,1,0,2,3
ENSMUSG00000029446,924,113,974,127
ENSMUSG00000029447,4573,1739,4104,1971
ENSMUSG00000065304,7,8,8,8
ENSMUSG00000093413,3,3,0,2
ENSMUSG00000025538,211,187,227,224
ENSMUSG00000025537,14,8,26,15
ENSMUSG00000106840,0,0,0,0
ENSMUSG00000070493,839,75,813,104
ENSMUSG00000034173,1037,50,1012,45
ENSMUSG00000095789,60,9,85,1
ENSMUSG00000066735,812,183,701,203
ENSMUSG00000107118,54,4,41,2
ENSMUSG00000106757,13,0,18,0
ENSMUSG00000025534,6771,478,6663,478
ENSMUSG00000025533,590,109,556,98
ENSMUSG00000025532,532,25,503,37
ENSMUSG00000034118,1392,223,1380,302
ENSMUSG00000107216,14,0,10,0
ENSMUSG00000034110,131,54,149,45
ENSMUSG00000025340,369,238,415,289
ENSMUSG00000080893,821,326,897,367
ENSMUSG00000094092,1,1,3,0
ENSMUSG00000053094,1338,674,1384,861
ENSMUSG00000107143,9,0,14,0
ENSMUSG00000106751,9,4,9,0
ENSMUSG00000025337,578,430,511,565
ENSMUSG00000056310,561,208,488,273
ENSMUSG00000060371,0,0,0,0
ENSMUSG00000052014,0,0,0,0
ENSMUSG00000106849,0,0,0,0
ENSMUSG00000106694,0,0,0,0
ENSMUSG00000034040,0,528,0,626
ENSMUSG00000107207,0,0,0,0
ENSMUSG00000107295,0,0,0,0
ENSMUSG00000106729,0,0,0,0
ENSMUSG00000106710,0,0,0,0
ENSMUSG00000105387,0,0,0,0
ENSMUSG00000029673,0,150,0,218
ENSMUSG00000105470,0,0,0,0
ENSMUSG00000105584,0,0,0,0
ENSMUSG00000104987,0,0,0,0
ENSMUSG00000105500,0,0,0,0
ENSMUSG00000105289,0,0,0,0
ENSMUSG00000105726,0,0,0,0
ENSMUSG00000106557,0,0,0,0
ENSMUSG00000105773,0,0,0,0
ENSMUSG00000106570,0,0,0,0
ENSMUSG00000106516,0,0,0,0
ENSMUSG00000105720,0,0,0,0
ENSMUSG00000106395,0,0,0,0
ENSMUSG00000106356,0,0,0,0
ENSMUSG00000106386,0,0,0,0
ENSMUSG00000106320,0,0,0,0
ENSMUSG00000104936,0,0,0,0
ENSMUSG00000105985,0,0,0,0
ENSMUSG00000105495,0,0,0,0
ENSMUSG00000106045,0,0,0,0
ENSMUSG00000104994,0,0,0,0
ENSMUSG00000106049,0,0,0,0
ENSMUSG00000106450,0,0,0,0
ENSMUSG00000105624,0,0,0,0
ENSMUSG00000106384,0,0,0,0
ENSMUSG00000105598,0,0,0,0
ENSMUSG00000100420,0,0,0,0
ENSMUSG00000105809,0,0,0,0
ENSMUSG00000103500,0,0,0,0
ENSMUSG00000119046,0,0,0,0
ENSMUSG00000106097,0,0,0,0
ENSMUSG00000058905,49,30,69,48
ENSMUSG00000106172,0,0,0,0
ENSMUSG00000105227,0,0,0,0
ENSMUSG00000106067,38,69,53,75
ENSMUSG00000104893,0,2,0,1
ENSMUSG00000106800,0,0,0,0
ENSMUSG00000087344,0,0,0,3
ENSMUSG00000015944,1768,226,1695,327
ENSMUSG00000061979,619,118,620,167
ENSMUSG00000104195,5,1,3,0
ENSMUSG00000015942,295,102,242,68
ENSMUSG00000015950,5021,243,5182,251
ENSMUSG00000060261,3028,2805,2719,3808
ENSMUSG00000107000,36,3,35,2
ENSMUSG00000107076,1,0,0,0
ENSMUSG00000093311,0,0,0,0
ENSMUSG00000023079,457,712,438,983
ENSMUSG00000106969,1,0,2,0
ENSMUSG00000072576,1,67,0,86
ENSMUSG00000106802,0,0,1,0
ENSMUSG00000063146,968,1061,1174,1195
ENSMUSG00000106691,1,0,4,0
ENSMUSG00000107090,0,0,0,0
ENSMUSG00000085957,1,0,9,1
ENSMUSG00000106323,0,0,0,0
ENSMUSG00000023104,1418,133,1298,134
ENSMUSG00000040751,1265,41,1304,45
ENSMUSG00000040731,6217,4482,6231,5073
ENSMUSG00000029674,549,349,568,528
ENSMUSG00000072573,0,0,0,0
ENSMUSG00000029675,0,7,0,17
ENSMUSG00000107318,0,0,0,0
ENSMUSG00000040576,0,0,0,3
ENSMUSG00000008843,0,0,0,0
ENSMUSG00000118424,0,0,0,0
ENSMUSG00000107322,0,0,0,0
ENSMUSG00000118469,0,0,0,0
ENSMUSG00000107005,0,0,0,0
ENSMUSG00000040557,365,25,419,52
ENSMUSG00000047501,0,0,4,1
ENSMUSG00000070473,0,0,0,0
ENSMUSG00000054909,0,0,0,0
ENSMUSG00000118961,0,0,0,0
ENSMUSG00000084392,1,0,0,0
ENSMUSG00000107335,3,0,1,0
ENSMUSG00000040532,1089,54,1059,53
ENSMUSG00000085042,52,1,28,7
ENSMUSG00000007207,79,60,95,93
ENSMUSG00000005378,1002,99,896,130
ENSMUSG00000088008,7,0,11,0
ENSMUSG00000061118,119,23,112,12
ENSMUSG00000043614,17,74,30,87
ENSMUSG00000005373,76,1,80,0
ENSMUSG00000107296,0,0,0,0
ENSMUSG00000005374,1453,209,1360,240
ENSMUSG00000029681,417,199,448,238
ENSMUSG00000002748,4253,1516,4133,1663
ENSMUSG00000049551,8,22,6,12
ENSMUSG00000106913,0,0,0,0
ENSMUSG00000040013,5,1,5,0
ENSMUSG00000053388,3,0,1,0
ENSMUSG00000000916,394,183,416,192
ENSMUSG00000053293,2507,621,2521,753
ENSMUSG00000099212,0,0,0,0
ENSMUSG00000039959,1231,438,1280,496
ENSMUSG00000106758,4,0,0,0
ENSMUSG00000070464,0,0,1,0
ENSMUSG00000004814,3,0,3,0
ENSMUSG00000107029,7,0,8,0
ENSMUSG00000039917,867,161,884,136
ENSMUSG00000082001,0,0,0,0
ENSMUSG00000094372,0,0,0,0
ENSMUSG00000105239,0,0,0,0
ENSMUSG00000005514,6803,732,7163,953
ENSMUSG00000080972,14,0,4,0
ENSMUSG00000039886,607,327,712,488
ENSMUSG00000099197,0,0,0,0
ENSMUSG00000019178,5,22,8,21
ENSMUSG00000019179,7454,1131,7698,1402
ENSMUSG00000039860,2,1,5,0
ENSMUSG00000085026,0,0,0,0
ENSMUSG00000118770,0,0,0,0
ENSMUSG00000004951,10,14,5,14
ENSMUSG00000105047,3,0,3,0
ENSMUSG00000051391,7775,3302,7526,4153
ENSMUSG00000029699,11,11,21,30
ENSMUSG00000004948,0,0,0,0
ENSMUSG00000004947,380,227,415,307
ENSMUSG00000042985,0,0,1,0
ENSMUSG00000006143,0,0,0,0
ENSMUSG00000004952,901,31,991,21
ENSMUSG00000086656,2,0,2,0
ENSMUSG00000099003,0,0,0,0
ENSMUSG00000039771,378,227,386,299
ENSMUSG00000105349,11,0,20,0
ENSMUSG00000029703,763,190,694,289
ENSMUSG00000039754,163,41,162,34
ENSMUSG00000039747,1254,122,1115,143
ENSMUSG00000039737,341,155,326,155
ENSMUSG00000106243,0,0,0,20
ENSMUSG00000005057,738,48,718,78
ENSMUSG00000029705,5170,3004,5238,3676
ENSMUSG00000086220,0,0,0,0
ENSMUSG00000102415,26,0,25,0
ENSMUSG00000106479,0,0,0,0
ENSMUSG00000104369,30,0,30,4
ENSMUSG00000005474,0,0,0,1
ENSMUSG00000004415,1,0,0,2
ENSMUSG00000092402,0,0,0,0
ENSMUSG00000104707,0,3,0,3
ENSMUSG00000007987,472,62,491,55
ENSMUSG00000097908,837,59,789,44
ENSMUSG00000019054,783,517,754,642
ENSMUSG00000001739,3,6,3,7
ENSMUSG00000059518,490,101,517,145
ENSMUSG00000004846,2205,1216,2200,1516
ENSMUSG00000076240,0,0,0,0
ENSMUSG00000087244,0,0,0,0
ENSMUSG00000098131,0,0,0,0
ENSMUSG00000037428,415,19,457,17
ENSMUSG00000004849,3024,1070,2935,1219
ENSMUSG00000037411,3249,3247,2940,3660
ENSMUSG00000043279,1886,149,1742,171
ENSMUSG00000037390,0,0,1,0
ENSMUSG00000106466,0,0,0,0
ENSMUSG00000118522,0,0,0,0
ENSMUSG00000106190,38,98,39,134
ENSMUSG00000094840,2,0,0,0
ENSMUSG00000105736,1,0,0,0
ENSMUSG00000023328,123,36,127,27
ENSMUSG00000099145,17,0,20,0
ENSMUSG00000051502,80,15,76,10
ENSMUSG00000037364,2998,1565,2669,1803
ENSMUSG00000098624,0,0,0,0
ENSMUSG00000106058,2,0,0,0
ENSMUSG00000023348,345,425,337,471
ENSMUSG00000037344,697,365,675,416
ENSMUSG00000105802,1,0,6,0
ENSMUSG00000029710,5,888,6,1087
ENSMUSG00000079173,1,0,10,0
ENSMUSG00000106476,0,0,0,0
ENSMUSG00000029711,0,0,0,0
ENSMUSG00000029715,149,107,147,111
ENSMUSG00000105851,7,2,6,0
ENSMUSG00000106237,89,46,111,40
ENSMUSG00000029714,1474,919,1552,990
ENSMUSG00000029713,5718,5844,5950,6762
ENSMUSG00000098597,0,0,0,0
ENSMUSG00000090873,14,0,16,5
ENSMUSG00000029712,0,0,0,0
ENSMUSG00000029716,47,4,56,2
ENSMUSG00000037221,1358,301,1446,307
ENSMUSG00000105408,34,82,28,89
ENSMUSG00000029718,29,288,26,342
ENSMUSG00000089984,11,2,14,4
ENSMUSG00000106617,63,3,36,0
ENSMUSG00000081228,139,72,110,138
ENSMUSG00000093445,22,3,24,5
ENSMUSG00000029720,70,8,65,2
ENSMUSG00000079165,0,0,0,0
ENSMUSG00000047182,9,0,1,0
ENSMUSG00000029722,2169,146,2065,135
ENSMUSG00000079163,1,0,0,0
ENSMUSG00000082088,495,18,417,42
ENSMUSG00000045348,677,48,557,40
ENSMUSG00000029723,5484,792,5044,939
ENSMUSG00000029725,605,72,706,67
ENSMUSG00000029726,811,658,738,807
ENSMUSG00000037108,18,3,13,3
ENSMUSG00000046245,38,0,53,2
ENSMUSG00000066684,5,0,19,0
ENSMUSG00000106478,0,0,1,0
ENSMUSG00000066682,12,0,6,5
ENSMUSG00000106155,0,0,0,0
ENSMUSG00000105649,0,0,0,0
ENSMUSG00000106435,0,0,0,0
ENSMUSG00000029727,0,7,0,10
ENSMUSG00000083813,3,4,2,7
ENSMUSG00000105787,3,81,0,115
ENSMUSG00000056966,0,30,0,38
ENSMUSG00000037053,0,0,0,0
ENSMUSG00000063739,53,122,54,200
ENSMUSG00000100543,0,0,0,0
ENSMUSG00000075599,0,0,0,0
ENSMUSG00000079156,0,0,0,0
ENSMUSG00000075598,0,0,0,0
ENSMUSG00000029729,643,330,636,441
ENSMUSG00000106102,0,0,0,0
ENSMUSG00000037017,145,190,161,203
ENSMUSG00000037007,239,75,223,83
ENSMUSG00000019494,1323,1345,1240,1597
ENSMUSG00000029730,2118,455,1945,583
ENSMUSG00000065394,0,0,0,0
ENSMUSG00000065527,0,0,0,0
ENSMUSG00000065514,0,0,0,0
ENSMUSG00000019518,237,171,257,223
ENSMUSG00000036980,583,259,553,330
ENSMUSG00000036968,227,175,270,227
ENSMUSG00000049285,32,8,36,11
ENSMUSG00000089783,1,0,0,0
ENSMUSG00000106338,0,0,0,0
ENSMUSG00000084469,0,0,0,0
ENSMUSG00000047592,0,0,0,0
ENSMUSG00000050552,384,700,406,652
ENSMUSG00000036948,633,153,596,200
ENSMUSG00000085227,4,0,4,3
ENSMUSG00000075593,0,0,0,0
ENSMUSG00000106247,0,1,0,3
ENSMUSG00000029510,0,9,0,14
ENSMUSG00000036928,0,9,2,1
ENSMUSG00000109713,0,0,0,0
ENSMUSG00000106161,0,0,0,0
ENSMUSG00000075591,34,126,39,136
ENSMUSG00000080935,903,59,918,68
ENSMUSG00000119207,0,0,0,0
ENSMUSG00000112214,0,0,0,0
ENSMUSG00000112194,0,0,0,0
ENSMUSG00000036898,143,31,121,39
ENSMUSG00000046440,6,120,9,203
ENSMUSG00000104668,0,0,0,0
ENSMUSG00000029526,0,0,0,0
ENSMUSG00000058291,464,183,429,274
ENSMUSG00000081142,6,0,12,0
ENSMUSG00000104686,1,0,0,0
ENSMUSG00000056014,168,8,178,12
ENSMUSG00000103298,0,0,0,0
ENSMUSG00000025854,999,174,1203,243
ENSMUSG00000094504,0,0,0,0
ENSMUSG00000025856,296,1941,297,2462
ENSMUSG00000075585,102,358,102,419
ENSMUSG00000025855,48,18,50,23
ENSMUSG00000086873,2,1,1,0
ENSMUSG00000025857,724,108,691,118
ENSMUSG00000036817,1584,740,1591,848
ENSMUSG00000106127,3,0,3,0
ENSMUSG00000025858,937,558,890,644
ENSMUSG00000056413,2244,133,2479,101
ENSMUSG00000045438,456,176,504,255
ENSMUSG00000029541,0,0,0,0
ENSMUSG00000053553,601,94,647,115
ENSMUSG00000065593,2,1,4,0
ENSMUSG00000044197,332,37,432,46
ENSMUSG00000044092,249,2,247,9
ENSMUSG00000053647,12,549,8,564
ENSMUSG00000119383,0,0,5,0
ENSMUSG00000053581,513,149,618,197
ENSMUSG00000106056,0,0,0,0
ENSMUSG00000029546,0,0,0,0
ENSMUSG00000104637,0,0,0,0
ENSMUSG00000036718,1845,504,1951,581
ENSMUSG00000029547,3263,859,3290,972
ENSMUSG00000098574,0,0,0,0
ENSMUSG00000018143,842,252,935,333
ENSMUSG00000036687,3,0,3,0
ENSMUSG00000098140,0,0,0,0
ENSMUSG00000029551,318,15,274,11
ENSMUSG00000105335,0,0,1,0
ENSMUSG00000048988,0,4,1,0
ENSMUSG00000106090,0,1,0,1
ENSMUSG00000029554,547,146,501,127
ENSMUSG00000105453,8,0,5,1
ENSMUSG00000085673,0,0,1,0
ENSMUSG00000087606,0,0,4,0
ENSMUSG00000106497,1,0,2,3
ENSMUSG00000087248,1,0,0,0
ENSMUSG00000105679,2,0,0,0
ENSMUSG00000036639,174,55,147,51
ENSMUSG00000029557,87,12,92,19
ENSMUSG00000029560,1193,353,1224,437
ENSMUSG00000056076,7139,2464,7210,3161
ENSMUSG00000098319,0,0,0,0
ENSMUSG00000106350,0,0,1,7
ENSMUSG00000105056,0,0,0,0
ENSMUSG00000036599,696,269,765,321
ENSMUSG00000105845,0,0,0,0
ENSMUSG00000105633,1,1,0,1
ENSMUSG00000036586,0,0,0,0
ENSMUSG00000105699,9,0,12,0
ENSMUSG00000029570,988,1383,1065,1733
ENSMUSG00000036565,2031,1804,2043,2214
ENSMUSG00000036555,349,70,350,98
ENSMUSG00000000148,483,142,509,153
ENSMUSG00000050022,527,22,545,30
ENSMUSG00000000149,847,1090,901,1507
ENSMUSG00000036526,406,17,451,10
ENSMUSG00000039683,0,76,0,112
ENSMUSG00000083382,7,27,4,24
ENSMUSG00000105873,0,1,0,0
ENSMUSG00000105344,0,0,0,0
ENSMUSG00000105212,0,0,0,0
ENSMUSG00000084934,0,0,0,0
ENSMUSG00000089164,0,0,0,0
ENSMUSG00000085540,0,0,0,0
ENSMUSG00000097947,0,0,0,0
ENSMUSG00000056493,1759,191,1704,177
ENSMUSG00000039623,1102,208,1055,184
ENSMUSG00000029576,0,11,0,14
ENSMUSG00000074817,1,0,3,3
ENSMUSG00000105213,0,0,0,0
ENSMUSG00000039533,0,5,0,6
ENSMUSG00000104978,0,0,2,0
ENSMUSG00000029578,1559,623,1582,714
ENSMUSG00000050822,4,7,0,6
ENSMUSG00000039477,3195,2021,3556,2537
ENSMUSG00000082308,2,38,4,95
ENSMUSG00000066640,835,109,846,143
ENSMUSG00000097559,30,3,24,2
ENSMUSG00000029580,39043,41333,34301,47420
ENSMUSG00000029581,11,1696,13,2017
ENSMUSG00000045078,1061,432,1033,546
ENSMUSG00000106543,0,0,1,0
ENSMUSG00000105714,0,0,0,0
ENSMUSG00000090981,0,0,0,0
ENSMUSG00000105901,0,0,0,0
ENSMUSG00000104529,11,0,4,0
ENSMUSG00000061898,107,44,114,40
ENSMUSG00000029586,0,0,0,0
ENSMUSG00000039296,1,0,0,0
ENSMUSG00000089879,0,0,0,0
ENSMUSG00000029587,316,49,296,42
ENSMUSG00000046658,237,72,323,105
ENSMUSG00000105345,7,0,6,2
ENSMUSG00000093910,0,11,1,21
ENSMUSG00000039244,823,373,901,504
ENSMUSG00000105609,1,3,0,3
ENSMUSG00000001844,278,21,314,19
ENSMUSG00000089889,11,0,9,0
ENSMUSG00000104875,0,0,0,0
ENSMUSG00000010825,1,3,4,2
ENSMUSG00000093720,1,0,0,0
ENSMUSG00000106198,0,0,2,0
ENSMUSG00000105594,0,0,3,0
ENSMUSG00000045345,12,2,13,0
ENSMUSG00000079111,1078,1491,938,1692
ENSMUSG00000105206,4,0,1,6
ENSMUSG00000106068,0,37,0,33
ENSMUSG00000039206,1172,137,1168,131
ENSMUSG00000001847,3316,2714,3308,3651
ENSMUSG00000105198,18,0,9,5
ENSMUSG00000118332,1,0,0,0
ENSMUSG00000083012,17,1,8,4
ENSMUSG00000018001,422,264,411,326
ENSMUSG00000051306,436,116,459,200
ENSMUSG00000097287,36,11,33,24
ENSMUSG00000104708,3,0,3,0
ENSMUSG00000029613,814,344,837,480
ENSMUSG00000029607,32,3,28,3
ENSMUSG00000029610,419,196,371,207
ENSMUSG00000079109,427,98,351,101
ENSMUSG00000091351,1,0,2,0
ENSMUSG00000104633,0,0,2,0
ENSMUSG00000075569,0,0,0,1
ENSMUSG00000029617,998,420,835,538
ENSMUSG00000119602,0,0,0,0
ENSMUSG00000029618,0,0,0,0
ENSMUSG00000105150,0,0,0,0
ENSMUSG00000038970,1961,230,1955,226
ENSMUSG00000098039,2,1,1,0
ENSMUSG00000052271,4,0,5,1
ENSMUSG00000066621,1404,239,1671,329
ENSMUSG00000104662,1,0,0,0
ENSMUSG00000087484,7,1,11,0
ENSMUSG00000047843,724,956,866,938
ENSMUSG00000038859,53,160,40,233
